UUID	Stance	Command	Move Name	Damage	Hit Range	Properties	Speed	Block Adv	Hit Adv	CH Adv	Notes	Unmatched
199c4af1-38c4-4336-bdf3-ba9a0577431f	Default	1					10	+3	+9	+9		
f20ebfc4-1261-41a4-b505-e1993b8c1243	Default	3					14	-14	-3	-3		
d3c7f37f-509c-4158-94df-19877cb11280	Default	F,1					10	+3	+9	+9		
e7ffb676-31c0-472a-b982-2aac726717e1	Default	F,3					14	-4	-3	-3		
da9d13c5-7249-4c09-8c10-187f30cf7593	Default	d+1					8	-2	+9	+9		
2faf5401-0f85-479d-be02-fec2bfae8101	Default	d+3					12	-17	-3	-3		
6fa0b7a6-48d6-4172-a6ee-259cbcf7a2d0	Default	FC+1					8	-2	+9	+9		
18d05a54-fbc4-49d0-a2bf-91b25ca86abe	Default	FC+3					18	-14	-3	+5		
d63f2569-a85a-42f7-84df-ce919ea620c5	Default	WS+1					13	-6	+5	+5		
b4d747a1-07b7-45a2-b282-5ae82ade1976	Default	WS+3					16	-16	0	0		
376c6eb7-3e1f-43bf-bbad-a2e7aae70898	Default	d/f+1					13	-2	+9	+9		
43e60fd0-3123-474c-a9ec-a7b7d8287dae	Default	d/f+3					16	-9	+2	+2		
51e544f2-3853-4c2b-a800-65a05a5f04a1	Default	2					10	0	+9	+9		
179229db-8fc1-4a0c-9f92-d971eade10ff	Default	4					25	-10	KD	KD		
a4e7d3d4-1889-417d-8e39-6f13b1ef4c47	Default	F,2					17	+2	+8	+8		
963efbc3-54cb-4802-b4e0-494cbd00b88e	Default	F,4					25	-10	KD	KD		
9f0fc6c8-239a-4efe-b7a1-4ee323c97da3	Default	d+2					10	-2	+9	+9		
3c92f3c0-3278-4041-a665-4d916a5dbe7e	Default	d+4					16	-8	+3	+3		
573724a1-8c2a-4050-b06d-5994516747b0	Default	FC+2					10	-2	+9	+9		
e4026709-5380-414e-8283-5f5b9a57c4b8	Default	FC+4					12	-8	+3	+3		
11da3bc3-7fbf-492f-b3d5-de5af4054653	Default	WS+2					14	-12	KD	KD		
e56c5f14-cab6-4986-b132-8180aaf58fb2	Default	WS+4					11	-3	+8	+8		
13770594-19a6-4569-8f25-c52911862944	Default	d/f+2					15	-2	+9	KD		
9b1c8758-dbea-41ff-a9ca-5e28a5a37d03	Default	d/f+4					13	-9	+2	+2		
dfe97459-99ce-4202-ad73-e34b4996055b	Default	1<2	Double Punch	6,10	hh		10	-3 -5	+9 +10	+9 +10		
87bc35c7-5cc7-4442-9ada-7a1eb10d1582	Default	= 4	= Knee	12	m			-7	+4	+4		
a613193a-6399-4b94-a5f6-ab92dd0d7759	Default	= ~1+4,2	= White Heron	5,10,10	shh			x -6 0	x +3 +11	x +3 +11	The White Heron cancels the Knee.	
8a2bf9b3-139c-4ed0-80cb-0974d7ff93a3	Default	= 4	= Crescent Kick	21	m			-12	KD	KD		
60e382f3-7956-4667-84c5-a97d4e1e0d95	Default	= d+4	= Crescent Sweep	14	L	JG		-26	KD	KD		
770c2811-9e75-47f1-a806-a7431ed82063	Default	1,1<2	Shining Fists	6,8,18	hhm		10	+3 +1 -17	+9 +1 KD	+9 +9 KD		
047369f1-efb0-4101-9e32-22310e5866a2	Default	1<2<2	Demon Slayer	6,10,18	hhh		10	-3 -5 -12	+9 +10 +1	+9 +10 +1		
b9dc4a14-59b9-4955-9267-9591030ee93a	Default	WS+1,2 - [~5]	Twin Pistons	10,15	mm	JG	13	-6 -7	+5 KD	+5 KD		
71fb1ffb-e310-4e4b-a019-292b7dfa2752	Default	(d/f+1,2_f+1+2,2_WR+1+2,2)					13	-2 -5	+9 +6	+9 +6		TRUE
43df8416-9e51-4163-b2d0-69cfef373b9a	Default	f,N,d,d/f+1	Thunder Godfist	29	m		23	-14	(-1_KD)	(-1_KD)		
149a04ac-2436-452b-ba53-89bca080b725	Default	= 3	= Mid Kick	20	m			-14	KD	KD		
