Character	Stance	Type	Command	Move Name	Damage	Hit Range	Properties	Speed	Block Adv	Hit Adv	CH Adv	Alt Commands	Notes	Unmatched	UUID
Jin	Default		1	Left Jab (Generic i10)				10	+3	+9	+9				82166fdb-2a44-4bcb-b0ba-753d6cce7c4a
Jin	Default		3	Left Kick (Generic i14)				14	-14	-3	-3				38c9459b-2fe0-4ab9-9cb4-a2486194f021
Jin	Default		F,1					10	+3	+9	+9				a9f520f0-58b8-4e60-9f78-27d5595a617b
Jin	Default		F,3					14	-4	-3	-3				d6b3eba8-4155-49fa-ba71-13e4c6fb5636
Jin	Default		d+1	Crouching Left Jab (Generic i8)				8	-2	+9	+9	FC 1			07222946-24af-4057-a300-93aa6ca41ce6
Jin	Default		d+3					12	-17	-3	-3	FC 3			94af0de1-8e78-47b1-b7b5-ee2865249790
Jin	Crouching		WS+1					13	-6	+5	+5				86247f1b-9e1d-498b-9a5b-72217f8ab206
Jin	Crouching		WS+3					16	-16	0	0				fd619621-d593-402b-9112-69b10d343730
Jin	Default		df+1					13	-2	+9	+9				65a92cdd-6fa4-4411-b0da-a4e9985fdd6a
Jin	Default		df+3					16	-9	+2	+2				1e622c75-839a-4a54-93fb-3935ff755e32
Jin	Default		2	Right Jab (Generic i10)				10	0	+9	+9				8e30b7f9-e55f-4c74-a968-703f1dc4bf88
Jin	Default		4	Right Kick (Generic i25)				25	-10	KD	KD				af245faa-f7e0-419c-9ba4-f770909373c2
Jin	Default		F,2					17	+2	+8	+8				35faf435-b77f-4020-b6fc-ea6aeb473e42
Jin	Default		F,4					25	-10	KD	KD				323d7a12-9070-405f-9e5d-525749265824
Jin	Default		d+2	Crouching Right Jab (Generic i10)				10	-2	+9	+9	FC 2			13389c93-cbda-4b02-9e38-950689355615
Jin	Default		d+4					16	-8	+3	+3	FC 4			f4704da9-eb60-4981-a6ec-a3a5ec88cea4
Jin	Crouching		WS+2					14	-12	KD	KD				350b5473-07cb-437b-a1bb-1c5ed8f074ef
Jin	Crouching		WS+4					11	-3	+8	+8				7925ce56-b277-42e0-a764-5a5f9dd274f4
Jin	Default		df+2					15	-2	+9	KD				250dfc7e-5b68-4f9e-9eff-30e71c6e5cff
Jin	Default		df+4					13	-9	+2	+2				adefcb6f-c1b8-4025-b672-f28949394f52
Jin	Default		1<2	Double Punch	6,10	h,h		10	-5	+10	+10				c48f3f3b-b0ab-446f-9737-2c5877f175cc
Jin	Default		1<2,4	Double Punch > Knee	6,10,12	h,h,m		10	-7	+4	+4				07cbc31f-768f-4fa8-8755-c91c5b5b0a83
Jin	Default		1<2,4~1+4	Double Punch > White Heron (First)	6,10,5,10	h,h,s,h		10	-6	+3	+3		The White Heron cancels the Knee.		1dfc26fc-84f1-41de-9ff7-d0ea4ed1d503
Jin	Default		1<2,4~1+4,2	Double Punch > White Heron (Second)	6,10,5,10,10	h,h,s,h,h		10	0	+11	+11		The White Heron cancels the Knee.		1dfc26fc-84f1-41de-9ff7-d0ea4ed1d503
Jin	Default		1<2,4~1+4,2,4	Double Punch > White Heron > Crescent Kick	6,10,5,10,10,21	h,h,s,h,h,m		10	-12	KD	KD				82300ce8-2928-4966-b7bc-19d9b2ff1121
Jin	Default		1<2,4~1+4,2,d+4	Double Punch > White Heron > Crescent Sweep	6,10,5,10,10,14	h,h,s,h,h,L	JG	10	-26	KD	KD				3d4d1464-8c11-41da-a03b-82d603d33688
Jin	Default		1,1<2	Shining Fists	6,8,18	h,h,m		10	-17	KD	KD				0ab8ca4e-16c7-4b1c-ae03-ab4d1714a081
Jin	Default		1<2<2	Demon Slayer	6,10,18	h,h,h		10	-12	+1	+1				d074e183-c6df-4a42-a4fe-75ba3c34b47d
Jin	Crouching		WS+1,2	Twin Pistons (Second)	10,15	m,m	JG	13	-7	KD	KD				4db31a8e-7371-42f4-9ca0-2cdd27e8487d
Jin	Default		df+1,2	Twin Lancer	10,16	m,m		13	-5	+6	+6	f+1+2,2; WR+1+2,2			4379dc2a-51ab-481e-9663-e8b101722e16
Jin	Default		f,N,d,df+1	Thunder Godfist	29	m		23	-14	(-1_KD)	(-1_KD)				9fae82c7-49dd-4fdd-9863-849ed6bd3409
Jin	Default		f,N,d,df+1,3	Thunder Godfist > Mid Kick	29,20	m,m		23	-14	KD	KD				9b0f21bc-a7bc-4b91-a825-15581ac2625d
Jin	Default		f,N,d,df+1,4	Thunder Godfist > Hell Sweep	29,12	m,L	JG	23	-20	KD	KD				50b3046b-d2fb-4fb4-84fc-d36734eadb37
Jin	Default		1<2,3	Shoot the Works	6,10,25	h,h,m	GB	10 x	+10	KD	KD				0a473b65-0128-44df-8f26-ca25a9162432
Jin	Default		1<2,3,4	Shoot the Works > Axe Kick	6,10,25,30	h,h,m,m		10 x	0	+11	+11				d025e75b-02e2-4837-a808-9a9b160cbd70
Jin	Default		1<2,3,f+4	Shoot the Works > Rising Kick	6,10,25,10	h,h,m,m		10 x	-5	+6	+6				37b1b91d-75d1-4a8f-9242-4b3e3de5e96b
Jin	Default		1+4	White Heron (First)	5,10	s,h		12 x	-6	+3	+3				a590737f-6ed0-402d-b91a-493e279cd1c2
Jin	Default		1+4,2	White Heron (Second)	5,10,10	s,h,h		12 x	0	+11	+11				a590737f-6ed0-402d-b91a-493e279cd1c2
Jin	Default		1+4,2,4	White Heron > Crescent Kick	5,10,10,21	s,h,h,m		12 x	-12	KD	KD				c14539b3-08f7-4267-8b8c-6820ba608224
Jin	Default		1+4,2,d+4	White Heron > Crescent Sweep	5,10,10,14	s,h,h,L	JG	12 x	-26	KD	KD				e0fa94a1-54bf-48ea-89df-bf62e753d21f
Jin	Default		df+2	Upper	15	m	SH JGc	15	-2	+9	KD				e5a8488a-c694-48a1-9472-d79c070d5967
Jin	Default		2,2	Demon Backhand Spin (Second)	10,18	h,h		10	-13	-2	-2				92ca84a3-8902-4910-815e-ecfee5312bb1
Jin	Default		b+2	Demon Backhand	12	h		17	-13	-2	-2				48c8ee70-708c-459e-b300-c9b46fe7ab8a
Jin	Default		f+2	Overhead Shot	18	m	GB KS	17	-2	+8	+8				fb2fb66d-3972-436c-b943-2abe3b8dface
Jin	Crouching		WS+2	Uppercut	18	m		14	-12	KD	KD				96292d09-3ebd-4ead-90d5-4520253fbda7
Jin	Default		f,f+2	Demon Paw	27	m		15	-11	KD	KD				f61a9c02-159a-4937-8eff-9c062822ae0b
Jin	Default		SS+2	Tooth Fairy	16	m	JG	18	-17	KD	KD				c62e1f99-d4f8-4956-a5ec-ec630b509c81
Jin	Default		f,N,d,df+2	Wind Godfist	25	h	JG	12	-7	KD	KD		Knocks opponent out of combo range on a CH.		44582d0b-31cb-404b-a6d2-a192b51fab09
Jin	Default		f,N,d,df,2	Stagger Wind Godfist	21	h	SH	13	-4	KD	KD				1265ad7b-191e-4d7d-a6e8-15d10d3a6b9d
Jin	Default		f~N,d~df+2	Electric Wind Godfist	30	h	JG JGc	11	+4	KD	KD				c2c066c2-1282-457d-868d-dae450bf53c5
Jin	Default		b,f+2	Laser Blow	18	m	DSc								1e0a5354-2d2d-46c0-bb09-7db1591639d9
Jin	Default		b,f+2<1<2	Laser Cannon	18,14,24	m,m,m	FSc	15	-5	KD	KD		The stun occurs on the 2nd hit.		248ceefd-1299-42e3-aec0-1c4a2076a6b7
Jin	Default		b,f+2<1<d+2	Laser Scraper	18,14,15	m,m,m	JG FSc	15	-10	KD	KD		The stun occurs on the 2nd hit.		547e0603-6962-49a4-899c-c80344688879
Jin	Default		f,f+3	Split Axe Kick	23	m	JG	20	-11	KD	KD				597fc67c-37a4-49fd-b892-fb2874af5a75
Jin	Default		f+3	Spinning Roundhouse	35	h		21	-4	KD	KD				b0a80d88-61df-4e4c-9c4c-4e2629b6e586
Jin	Default		f,N,d,df,f,uf+3	Crouch Dash Slash Kick	30	m	GB	22	+17	KD	KD				83022b10-8faf-4780-af8d-c013b925aab2
Jin	Default		WR+3	Leaping Slash Kick	30	m	GB	22	+17	KD	KD	f,f,f+3			7dd731c1-155c-4c42-b1de-cc4d3dde1844
Jin	Default		d+3+4	Can Can	5,20	s,h	JG	14	-10	KD	KD				3e03779a-58f8-4df5-bdc5-f94bf399b8db
Jin	Default		f+4	Knee	12	m		11	-7	+4	+4				4c626b21-a88d-4f3a-b4ce-db52ba5aeb5e
Jin	Default		df+4<4	Tsunami Kick	10,16	m,m		13	-15	-4	-4				d2de1203-5ad7-4939-802e-c73cd2321b18
Jin	Crouching		WS+4,4	Tsunami Kick (Second)	13,21	m,m		11	-15	-4	-4				7accf8ab-d748-4cfe-8b5c-619f0a31b395
Jin	Default		f,N,d,DF+4	Hell Sweep	18	L	JG	20	-26	(-5_KD)	KD		Delayed Hell Sweep will do 15 damage.		e4b68c71-e641-4066-bedd-e25cf3f763f5
Jin	Default		f,N,d,DF+4,4	Hell Sweep > Spinning Demon	18,15	L,m		20	-14	KD	KD				6606530a-d3c3-436d-b8ea-8a2c13b39bba
Jin	Default		uf+4	Spinning Demon (First)	25	h		15 x	-24	KD	KD				34cf773f-cfd5-4f55-8080-c86e6941c645
Jin	Default		uf+4,4	Spinning Demon (Second)	25,15	h,L		15 x	-26	KD	KD				34cf773f-cfd5-4f55-8080-c86e6941c645
Jin	Default		uf+4,4,4	Spinning Demon (Third)	25,15,12	h,L,L		15 x	-26	KD	KD				34cf773f-cfd5-4f55-8080-c86e6941c645
Jin	Default		uf+4,4,4,4	Spinning Demon (Fourth)	25,15,12,25	h,L,L,m		15 x	-10	KD	KD				34cf773f-cfd5-4f55-8080-c86e6941c645
Jin	Default		4~3	Demon Scissors	25	m		37		KD	KD	uf+4~3			9b3830d0-1300-4f47-b078-979f55d7f6b6
Jin	Default		b+1+2	Lightning Force	0	-							Repels all attacks.		56421cb1-300c-4ad5-9483-f570e84d858f
Jin	Default		b+1+3	High and Mid Attack Reversal	Varies	-						b+2+4			e0fe5688-183b-4786-b233-3eebf4c04f7a
Jin	Default		ub+2+4	Corpse Splitter	24_30_34	M						u+2+4; uf+2+4			74692786-9c07-405c-b0db-d0a366fd60aa
Jin	Default		b+1+4	Lightning Godfist	40	!		43		KD	KD				ddb70382-ef4f-4d82-bbae-9944e2443f9e
Jin	Default		B+1+4	Lightning Screw Godfist	80	!		63		KD	KD				e767ff2c-c60c-45c1-961e-5c7cdc663277
Jin	Default	throw	1+3	Bitch Kicks	10,20	Front	1	12							2fc5fd54-83d3-49cd-b72b-49826a40cc12
Jin	Default	throw	2+4	Shoulder Reverse	30	Front	2	12							71589ec5-c421-4a1a-af06-3dae5e95061c
Jin	Default	throw	f,f+1+2	Stone Head	33	Front	1+2	12					Opponent can tech roll after the throw.		128bf09c-7b3d-4d40-9759-c68706c0b2e2
Jin	Default	throw	df+2+3	Wrist Chuck Slam	38	Front	2	11							235cae57-2416-4679-8c8e-f41f168cdc41
Jin	Default	throw	qcb+1+3	Complicated Wire	35	Front	1	11							c71be1f9-e354-4f68-b972-ef9496bf63da
